SITE,YEAR,OTTER_baylevel,OTTER_2km,OTTER_density,BAYSIZE,OTTER2km_smooth,OTTERbaydensity_smooth,OTTERLEVEL,NEREO,MACRO,LAMSP,COST,PTERY,DESM,ASTREA,ABALONE,PYCNO,DERMAST,HENRICIA,ORTHAST,PISAST,PARA,SFRAN,SDROEB,SPURP,CUCUM,RAREUNDERSTORYKELP,PDO,ENSO,wvht_mean,wvht_median,wvht_max,wvht_95,wvht_events95,wvht_events99,wvht_99,sst_mean,sst_median,sst_max,sst_95,sst_events95,sst_events99,sst_99
GULL,1988,201,5,1.010050251,199,5,0.922080267,FEW,1.4,0,47.8,0,94.4,24,0.2,0,1.6,1.2,8.8,1.2,0.2,0,0.2,0.4,0,0.6,2.4,-0.610833333,-1.074957143,NA,NA,NA,NA,NA,NA,NA,11.29125683,11.4,18.2,16.15,11,0,17
GULL,1989,329,0,1.653266332,199,0.520339327,1.141081872,ABUNDANT,0.4,8.8,58,0,82.8,78.4,0,0.4,2.2,1,7.6,0.8,0,0.2,0.6,0,0.4,0,0,-0.5025,0.136871429,NA,NA,NA,NA,NA,NA,NA,10.80767123,11,18.1,16,11,0,17.672
GULL,1990,288,1,1.447236181,199,1.798576118,1.357550648,ABUNDANT,0,4.2,55.2,0,79.8,30,3.2,0.2,2.2,3.4,8.2,1.2,0,0,0,0,0,0.2,0,-1.344166667,0.464885714,NA,NA,NA,NA,NA,NA,NA,11.4734072,11.2,18.9,16.6,16,4,18.18
GULL,1991,230,0,1.155778894,199,3.238597676,1.573318777,FEW,0.6,2.4,41.2,0,81,12.8,2,0.6,2.4,4.2,4.2,1.6,0,0,1.8,0,0.2,0,0.2,0.120833333,1.441414286,NA,NA,NA,NA,NA,NA,NA,11.25371901,11,20,17.2,27,7,18.938
GULL,1992,257,0,1.291457286,199,4.865057087,1.789024255,ABUNDANT,0,0,33.2,0,63.6,20,2,0.2,1.4,1.8,7.2,2.6,0,0,0.8,0.2,0,0,0,0.829166667,0.9243,NA,NA,NA,NA,NA,NA,NA,11.95765027,11.35,19.8,17.375,26,5,18.735
GULL,1993,272,4,1.366834171,199,6.647120168,2.002461517,ABUNDANT,0,2.4,25.2,0,57.8,38.4,0.2,0,2.4,2.6,3.8,0.6,0.2,0,0.4,0.4,0,0,0,0.796666667,0.695885714,NA,NA,NA,NA,NA,NA,NA,11.22684932,10.6,20,16.6,16,6,19.036
GULL,1994,413,4,2.075376884,199,8.533692821,2.211197389,ABUNDANT,0,4.8,22.4,0,61.6,33.2,0,0,0.4,3.6,3.6,1,0.6,0,0,0,0,0.2,0,-0.609166667,0.902828571,2.27,1.7,6.9,5.505,1,0,6.621,11.53616438,11.8,18.8,16.88,19,2,17.936
GULL,1995,530,21,2.663316583,199,10.47368095,2.412798702,ABUNDANT,0,16.4,13.4,0,59.2,69.2,2.4,0,1,2.8,0.2,0.6,0,0,0.4,0,0,0,0.2,0.764166667,-0.3563,3.491212121,3.2,8.9,6.5,20,1,7.542,11.56520548,11,20.2,17.98,49,8,18.8
GULL,1996,576,7,2.894472362,199,12.70717755,2.621290722,ABUNDANT,0,1.8,10,0,45,99.4,7,0,1.8,2.2,1.2,0.8,0,0,0,0,0,0.2,1.4,0.4975,0.224514286,3.16744186,2.85,9.5,5.8,6,1,7.099,11.64262295,11.05,17.8,16.8,17,0,17
GULL,1997,596,10,2.994974874,199,15.28777857,2.840187018,ABUNDANT,0.4,19.2,4.2,0,31.4,55.6,2,0,0.6,1.2,0.8,0.4,0,0,0,0,0,0,0,0.973333333,2.371485714,3.170054945,2.75,11.1,6.4,18,5,8.907,10.91671233,10.4,18,16.36,12,0,17.4
