,ENSO,OTTER,NEREO,MACRO,LAMSP,COST,PTERY,DESM,ASTREA,ABALONE,PYCNO,DERMAST,HENRICIA,ORTHAST,PISAST,PARA,SFRAN,SDROEB,SPURP,CUCUM,RAREUNDERSTORYKELP
ENSO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OTTER,U,U,P,P,NA,NA,NA,NA,P,P,P,P,P,P,P,P,P,P,P,NA,NA
NEREO,U,NA,U,N,N,N,N,N,N,NA,NA,NA,NA,NA,NA,NA,N,N,N,NA,NA
MACRO,U,NA,NA,U,N,N,N,N,N,NA,NA,NA,NA,NA,NA,NA,N,N,N,NA,N
LAMSP,U,NA,NA,N,U,N,N,N,N,NA,NA,NA,NA,NA,NA,NA,N,N,N,NA,NA
COST,U,NA,NA,N,N,U,N,N,N,NA,NA,NA,NA,NA,NA,NA,N,N,N,NA,NA
PTERY,U,NA,NA,N,N,N,U,N,N,NA,NA,NA,NA,NA,NA,NA,N,N,N,NA,NA
DESM,U,NA,NA,N,N,N,N,U,N,NA,NA,NA,NA,NA,NA,NA,N,N,N,NA,N
ASTREA,U,N,P,P,P,P,P,P,U,U,N,NA,N,N,N,NA,N,N,N,NA,P
ABALONE,U,N,NA,NA,NA,NA,NA,NA,N,U,N,NA,NA,N,N,NA,U,U,U,NA,NA
PYCNO,U,N,NA,NA,NA,NA,NA,NA,P,P,U,NA,U,N,N,NA,P,P,P,NA,NA
DERMAST,U,N,NA,NA,NA,NA,NA,NA,NA,NA,N,U,NA,N,N,NA,NA,NA,NA,NA,NA
HENRICIA,U,N,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,U,N,N,NA,NA,NA,NA,NA,NA
ORTHAST,U,N,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,U,N,NA,NA,NA,NA,NA,NA
PISAST,U,N,NA,NA,NA,NA,NA,NA,P,P,N,NA,NA,N,U,NA,NA,NA,NA,NA,NA
PARA,U,N,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,U,NA,NA,NA,NA,NA
SFRAN,U,N,P,P,P,P,P,P,N,U,N,NA,NA,NA,NA,NA,U,N,N,NA,P
SDROEB,U,N,P,P,P,P,P,NA,N,U,N,NA,NA,NA,NA,NA,N,U,N,NA,P
SPURP,U,N,P,P,P,P,P,P,N,U,N,NA,NA,NA,NA,NA,N,N,U,NA,P
CUCUM,U,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,U,NA
RAREUNDERSTORYKELP,U,NA,NA,N,N,N,N,N,N,NA,NA,NA,NA,NA,NA,NA,N,N,N,NA,U
